City,Latitude,Longitude
New York City,40.7128,-74.006
Los Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
Houston,29.7604,-95.3698
Phoenix,33.4484,-112.074
Philadelphia,39.9526,-75.1652
San Antonio,29.4241,-98.4936
San Diego,32.7157,-117.1611
Dallas,32.7767,-96.797
San Jose,37.3541,-121.9552
Austin,30.2672,-97.7431
Jacksonville,30.3322,-81.6557
Indianapolis,39.7684,-86.1581
San Francisco,37.7749,-122.4194
Columbus,39.9612,-82.9988
Charlotte,35.2271,-80.8431
Fort Worth,32.7555,-97.3308
Detroit,42.3314,-83.0458
El Paso,31.7619,-106.485
Memphis,35.1495,-90.049
Seattle,47.6062,-122.3321
Denver,39.7392,-104.9903
"Washington, D.C.",38.8951,-77.0369
Boston,42.3601,-71.0589
Nashville,36.1627,-86.7816
Baltimore,39.2904,-76.6122
Oklahoma City,35.4676,-97.5164
Louisville,38.2527,-85.7585
Portland,45.5051,-122.675
Las Vegas,36.1699,-115.1398
Milwaukee,43.0389,-87.9065
Albuquerque,35.0844,-106.6504
Tucson,32.2226,-110.9747
Fresno,36.7783,-119.4179
Sacramento,38.5816,-121.4944
Kansas City,39.0997,-94.5786
Long Beach,33.7701,-118.1937
Mesa,33.4152,-111.8315
Atlanta,33.749,-84.388
Colorado Springs,38.8339,-104.8214
Virginia Beach,36.8529,-75.978
Raleigh,35.7796,-78.6382
Omaha,41.2565,-95.9345
Miami,25.7617,-80.1918
Oakland,37.8044,-122.2711
Minneapolis,44.9778,-93.265
Tulsa,36.1539,-95.9928
Wichita,37.6872,-97.3301
New Orleans,29.9511,-90.0715
Arlington,32.7357,-97.1081
Cleveland,41.4993,-81.6944
Bakersfield,35.3733,-119.0187
Tampa,27.9506,-82.4572
Aurora,39.7294,-104.8319
Anaheim,33.8366,-117.9143
Honolulu,21.3069,-157.8583
Santa Ana,33.7455,-117.8677
Riverside,33.9806,-117.3755
Corpus Christi,27.8006,-97.3964
Lexington,38.0406,-84.5037
Stockton,37.9577,-121.2908
Henderson,36.0395,-114.9817
Saint Paul,44.9537,-93.09
St. Louis,38.627,-90.1994
Cincinnati,39.1031,-84.512
Pittsburgh,40.4406,-79.9959
Greensboro,36.0726,-79.7919
Anchorage,61.2181,-149.9003
Plano,33.0198,-96.6989
Lincoln,40.8136,-96.7026
Orlando,28.5383,-81.3792
Irvine,33.6846,-117.8265
Newark,40.7128,-74.006
Durham,35.994,-78.8986
